2099
aller  --- du
tient  --- sorte
se  --- définit
a  --- ceux
a  --- autres
faut  --- reconnaître
reconnaître  --- que
ont  --- &
faut  --- beaucoup
a  --- moment
disaient  --- que
eu  --- chiffres
crois  --- qu
a  --- années
dit  --- que
dit  --- que
fait  --- que
maintenir  --- clientèles
a  --- déménagements
a  --- appartements
s  --- installent
a  --- enfant
a  --- enfant
fait  --- beaucoup
fait  --- que
a  --- passage
a  --- beaucoup
maintenir  --- clientèle
f~  --- &
a  --- problème
vous  --- interroger
en  --- a
a  --- lycée
a  --- collèges
a  --- lycée
qu  --- avait
a  --- ans
a  --- maternelles
a  --- maternelles
imagine  --- que
a  --- besoin
avoir  --- XXX
orientent  --- enfants
achètent  --- livres
ont  --- enfants
le  --- dire
faut  --- dire
que  --- passent
passe  --- heures
a  --- beaucoup
ouvrir  --- livre
a  --- problème
dis  --- &
ai  --- impression
ai  --- impression
devient  --- quartier
ont  --- de
penser  --- que
connais  --- &
a  --- partie
que  --- connais
ai  --- voisins
ont  --- enfants
les  --- vois
les  --- vois
dis  --- aurais
dire  --- que
les  --- vois
les  --- vois
les  --- vois
voit  --- Chaplin
s  --- habiller
voit  --- fille
regarde  --- devanture
piquer  --- baguette
voit  --- vol
prévient  --- boulanger
se  --- retrouve
la  --- rattraper
demande  --- explications
explique  --- vol
explique  --- que
a  --- baguette
a  --- vol
embarque  --- Chaplin
se  --- retrouve
se  --- retrouve
dire  --- non
voit  --- femme
prend  --- pain
voit  --- manque
prend  --- bout
délate  --- vol
voit  --- fille
se  --- heurtent
se  --- termine
rejoint  --- boulanger
avait  --- fille
avoir  --- faim
s  --- éloigne
voler  --- baguette
rencontré  --- Charlot
dénoncé  --- fille
s  --- accusé
laisser  --- fille
s  --- accuser
s  --- arrête
indique  --- que
volé  --- pain
ai  --- &
trouve  --- que
qu  --- données
a  --- rendez
que  --- remettre
vendaient  --- biens
dit  --- oui
veut  --- parler
avez  --- impression
fait  --- beaucoup
m  --- sorti
m  --- fait
voir  --- &
a  --- gens
m  --- frappé
voir  --- que
avais  --- amie
ont  --- moyens
payer  --- prépa
réussir  --- concours
m  --- fait
réaliser  --- ce
pense  --- que
paye  --- tout
faire  --- vaccins
les  --- payés
m  --- sorti
m  --- renforcé
fait  --- bien
avez  --- idées
que  --- &
veux  --- travailler
sais  --- si
voulez  --- savoir
savoir  --- pourquoi
fais  --- boulots
que  --- aime
a  --- dimension
faut  --- être
que  --- aime
l  --- apprend
que  --- &
que  --- &
que  --- appelle
les  --- verrait
aimerais  --- &
m  --- attire
a  --- gens
veulent  --- &
fait  --- médecine
gagneront  --- argent
ont  --- envie
faire  --- spécialité
a  --- autres
recherchent  --- contact
fait  --- &
a  --- spécialités
rapporte  --- assez
faut  --- ê~
faut  --- être
a  --- métiers
faut  --- être
voyez  --- ce
que  --- dire
faut  --- être
faut  --- avoir
avoir  --- don
pense  --- que
a  --- spécialités
a  --- spécialité
m  --- attire
a  --- énormément
voyez  --- ce
que  --- dire
sais  --- si
faut  --- avoir
avoir  --- avocat
avoir  --- idéaux
faut  --- être
ai  --- question
poser  --- questions
compris  --- que
avait  --- suffisamment
pensez  --- quoi
sais  --- si
a  --- loi
vois  --- gens
prennent  --- chien
les  --- font
faire  --- besoin
aime  --- animaux
ai  --- rien
trouve  --- ça
trouve  --- d
lance  --- appel
&  --- cri
ferons  --- point
sauver  --- emplois
attendant  --- celle
quitté  --- procès
dénoncent  --- pratiques
réunit  --- syndicats
l  --- dit
aborder  --- ce
voir  --- va
annonce  --- mesures
contenter  --- monde
qu  --- jugent
qu  --- attendent
pillé  --- magasins
brûlé  --- pneus
vous  --- retrouve
le  --- savez
que  --- annoncera
réclament  --- abandon
promulgué  --- plan
créer  --- plus
ralentir  --- saisies
concerne  --- millions
payer  --- crédit
présenté  --- plan
demandent  --- milliards
le  --- verrez
le  --- savez
savoir  --- si
se  --- trouvait
fait  --- belle
quitté  --- procès
attendant  --- que
annoncé  --- qu
rendrait  --- décision
entendu  --- préfet
fait  --- forcing
prendre  --- contrôle
écoute  --- maître
le  --- dit
jouait  --- matchs
s  --- impose
voulais  --- faire
faire  --- L
voulais  --- faire
faire  --- S
m  --- acceptée
avais  --- moyenne
m  --- déçue
avais  --- énormément
choisi  --- L
rendu  --- compte
avais  --- ans
vécu  --- fait
m  --- marquée
vécu  --- ça
eu  --- ans
parlait  --- français
vécu  --- chose
connaissais  --- mot
m  --- a
m  --- mis
disant  --- &
connaissais  --- personne
parlaient  --- portugais
avoir  --- diplôme
vécu  --- chose
avais  --- souhait
dit  --- iras
gardé  --- souvenir
rendu  --- compte
m  --- a~
m  --- enrichie
retrouvé  --- origines
apprendre  --- langue
connu  --- &
me  --- ouverte
montes  --- escaliers
faut  --- continuer
faut  --- tourner
vous  --- éloigner
longeant  --- cinéma
suivez  --- avenue
fait  --- coude
rencontrez  --- tram
que  --- longer
que  --- suivre
le  --- &
suivez  --- rails
sais  --- &
le  --- verrez
a  --- chaises
ont  --- besoin
connais  --- endroit
les  --- laisser
les  --- donner
faut  --- donner
as  --- quelqu
ai  --- quelqu
faut  --- que
les  --- donnes
faut  --- compter
compter  --- combien
faut  --- compter
compter  --- équivalent
pensais  --- plus
font  --- cannage
faut  --- compter
les  --- &
les  --- prennent
faut  --- compter
compter  --- combien
sais  --- que
avait  --- &
qu  --- eus
fait  --- impacts
demandé  --- si
s  --- introduits
tout  --- perdu
les  --- redonnes
a  --- problème
fait  --- &
as  --- problème
que  --- ai
que  --- rhabiller
veux  --- rhabiller
appelé  --- fauteuil
donner  --- expression
crois  --- que
le  --- refaire
dis  --- qu
faudrait  --- que
referaient  --- assise
faut  --- que
dise  --- accoudoirs
vu  --- sont
tout  --- reprendre
faut  --- reprendre
faire  --- travail
faut  --- faire
faire  --- assise
changera  --- grand
le  --- recouvrir
fait  --- que
le  --- remettre
le  --- restaurer
pense  --- que
amener  --- tissu
ai  --- rouleau
faudrait  --- que
dises  --- teintes
que  --- mettre
f~  --- &
faut  --- savoir
savoir  --- que
as  --- base
as  --- pièce
veux  --- garder
garder  --- teintes
ai  --- beige
que  --- &
mis  --- coussins
as  --- quelque
crains  --- que
risque  --- de
fait  --- contraste
faut  --- que
aie  --- frange
t  --- embête
le  --- mets
faut  --- que
mettre  --- frange
vu  --- qu
le  --- déguise
a  --- époque
avait  --- deux
donne  --- aspect
mets  --- tissu
l  --- gardée
pris  --- poussière
crois  --- que
a  --- problème
le  --- voir
a  --- problème
prenez  --- route
aura  --- échangeur
prenez  --- rond
passez  --- pont
suivez  --- route
a  --- tournant
prenez  --- rond
aura  --- Géant
descendez  --- route
descends  --- escaliers
descends  --- pente
verras  --- rond
avoir  --- gare
a  --- Nef
a  --- intersions
aura  --- intersection
voir  --- cathédrale
a  --- plein
traverse  --- place
traversez  --- rues
faire  --- angle
sais  --- quoi
le  --- dire
l  --- vécu
s  --- appelle
mouiller  --- personne
dit  --- as
as  --- antenne
dit  --- mois
ai  --- antenne
écrivait  --- spectacles
faisais  --- spectacle
tourniez  --- Landru
a  --- barbe
me  --- planquais
expliquer  --- ce
que  --- faisais
retiendrais  --- Orson
a  --- question
faire  --- interview
surpris  --- ami
se  --- saurait
se  --- saurait
fait  --- amant
aime  --- principe
m  --- emmerde
avez  --- fidélités
ça  --- aime
me  --- &
avez  --- fidélités
faire  --- amant
le  --- dire
a  --- problème
a  --- endroit
crois  --- que
a  --- endroit
a  --- gens
ont  --- emmerdes
se  --- confiés
avoir  --- peine
dis  --- mais
se  --- confier
s  --- étonne
le  --- sache
croyais  --- XXX
croyais  --- que
t  --- habiller
te  --- rendrait
écriée  --- ciel
entendant  --- porte
s  --- ouvrir
m~  --- &
me  --- mariée
dire  --- ciel
entendant  --- porte
que  --- &
dire  --- que
trompes  --- ma~
trompé  --- mari
dit  --- mais
que  --- crois
sent  --- César
appelé  --- ami
voyez  --- ce
que  --- dire
les  --- prends
chauffé  --- mère
pensant  --- que
appelant  --- pote
dragouiller  --- mère
faire  --- déclaration
dit  --- oui
croyant  --- que
croyant  --- que
su  --- que
séduisent  --- public
s  --- étend
s  --- expose
qu  --- génère
l  --- emporter
se  --- retire
continue  --- activité
se  --- consacre
l  --- reconnu
connu  --- Algérie
fait  --- étude
ayant  --- passion
accumulé  --- savoir
avais  --- ans
fait  --- études
se  --- cristalliser
pensé  --- qu
me  --- préoccupe
faire  --- savoir
faire  --- littérature
créer  --- choses
eu  --- conviction
eu  --- envie
marque  --- temps
ai  --- &
voulu  --- ça
parlaient  --- français
eu  --- environnement
parlaient  --- arabe
lisais  --- tout
me  --- mis
découvrir  --- littérature
faisais  --- beaucoup
jouais  --- énormément
faire  --- études
me  --- trouvais
vous  --- distinguez
avais  --- réputation
avais  --- réputation
faisais  --- grand
faire  --- écoles
se  --- diriger
faire  --- sociologie
gaspiller  --- talent
me  --- trouvé
gaspiller  --- talent
savoir  --- que
ferais  --- métier
voulais  --- aller
avais  --- Lewis
voyais  --- mathématiques
découvrir  --- univers
l~  --- &
les  --- vues
a  --- projet
faire  --- quelque
avais  --- &
eu  --- envie
faire  --- carrière
ai  --- envie
faire  --- monde
les  --- mettre
avoir  --- quelque
voir  --- amis
avaient  --- envie
entendre  --- musique
faisaient  --- ça
fait  --- que
avait  --- endroit
avait  --- pièces
dit  --- f~
faut  --- partir
faut  --- &
passé  --- nuits
sortir  --- gens
puiser  --- eau
avait  --- gens
passé  --- nuits
faire  --- ça
entendu  --- bombardement
dit  --- sont
dit  --- sont
démolir  --- ce
qu  --- faut
faut  --- démolir
attendu  --- heures
avait  --- quelque
longerais  --- boulevard
traverse  --- cours
avaient  --- &
avais  --- chance
avoir  --- enfants
préféraient  --- rigoler
a  --- problème
eu  --- problème
compris  --- gens
connaissais  --- gens
mettaient  --- enfants
voulaient  --- entrer
les  --- prenait
pense  --- que
pense  --- &
ai  --- &
a  --- enfants
a  --- établissements
a  --- bons
se  --- pose
que  --- vois
avez  --- nombre
vois  --- mamans
que  --- fais
faudrait  --- &
mettrais  --- plus
parle  --- français
parlant  --- français
parlant  --- français
apprendre  --- français
parlent  --- français
imaginer  --- mélanges
imaginer  --- busing
vu  --- que
se  --- faire
pense  --- que
a  --- suffisamment
faudrait  --- qu
faudrait  --- qu
ait  --- &
sépare  --- &
ait  --- cours
parlent  --- français
apprendre  --- français
parlent  --- français
voient  --- papa
parlent  --- français
parlent  --- français
parlent  --- français
apprendre  --- français
apprennent  --- français
que  --- fait
faut  --- dire
dire  --- qu
tenu  --- crayon
se  --- fait
pense  --- que
dis  --- que
voulez  --- apprendre
parle  --- français
perdre  --- pied
en  --- a
a  --- gens
prend  --- enfants
les  --- mélange
parlent  --- français
s  --- installe
pense  --- que
avez  --- raison
crois  --- que
pense  --- que
avez  --- raison
les  --- emmener
faut  --- emmener
crois  --- que
emmener  --- enfant
faudra  --- que
l  --- acceptent
ont  --- beaucoup
se  --- séparer
le  --- font
explique  --- que
dire  --- que
a  --- fille
se  --- baladant
vu  --- vitrine
regardait  --- vitrine
a  --- quelqu
livrer  --- pain
laissé  --- camion
voler  --- baguette
a  --- dame
l  --- vue
s  --- mise
tombés  --- deux
l  --- dénoncée
étaient  --- deux
comprend  --- que
s  --- accuse
remontez  --- boulevard
voir  --- cinéma
suivez  --- ligne
a  --- Préfecture
a  --- Préfecture
suivez  --- ligne
crois  --- que
suivez  --- ligne
suivez  --- ligne
obligé  --- de
suivez  --- ligne
vous  --- tromper
me  --- présente
m  --- appelle
ai  --- ans
obtenu  --- bac
que  --- faire
savoir  --- certifié
transmettre  --- compétences
qu  --- acquis
offrir  --- clés
demande  --- d
faut  --- proposer
proposer  --- méthodes
intéresser  --- auditoire
réaliser  --- devoirs
nous  --- emmener
nous  --- amener
nous  --- déplacer
être  --- dans
enseigne  --- langue
s  --- exerce
me  --- concerne
travaille  --- heures
réalisé  --- enquête
mis  --- fait
qu  --- enseignent
remarque  --- que
que  --- fournit
faisant  --- tests
relever  --- que
noter  --- atouts
m  --- adresser
aime  --- adresser
ai  --- &
ai  --- sentiment
m  --- accomplir
aidant  --- autres
ai  --- souci
noter  --- que
mêle  --- côté
passer  --- concours
faut  --- mentir
avoir  --- vie
construire  --- famille
a  --- programme
se  --- dégrader
a  --- années
mettait  --- heure
prends  --- boulevard
fait  --- angle
longes  --- rails
prends  --- rue
a  --- bifurcation
continues  --- rue
a  --- produits
changent  --- vie
dit  --- mais
les  --- inventés
que  --- allez
mettre  --- machine
admirez  --- résultat
oubliez  --- produits
mettez  --- boule
voir  --- résultat
l  --- mise
prouver  --- ce
que  --- raconte
prouver  --- efficacité
voulez  --- vérifier
vérifier  --- qu
ait  --- lessive
mettre  --- chemise
a  --- pantalon
le  --- mets
a  --- paire
rajouter  --- boule
remplacer  --- lessive
ferme  --- tiroir
ferme  --- hublot
mettez  --- scellés
se  --- retrouve
demander  --- de
briser  --- scellé
voir  --- résultat
avions  --- pantalon
a  --- rien
vois  --- taches
avions  --- chemisier
a  --- rien
qu  --- peut
remplacer  --- lessive
que  --- entend
a  --- billes
ont  --- efficacité
que  --- propose
écouter  --- spécialiste
expliquer  --- marche
accroît  --- mouvement
renforce  --- pouvoir
abaisse  --- tension
permet  --- pénétration
émettant  --- ions
réduit  --- adhésion
faciliter  --- élimination
capte  --- chlore
protège  --- élasticité
contenant  --- détergent
laisse  --- résidu
écarte  --- risque
faire  --- économies
utilisez  --- boule
utilise  --- boule
dites  --- est
que  --- pensez
crois  --- que
avez  --- garçon
se  --- salit
faisait  --- allergies
enlève  --- odeurs
qu  --- avoir
apporte  --- odeur
abîme  --- linge
préserver  --- planète
sait  --- quantité
faire  --- geste
utiliserez  --- cela
sais  --- que
obtenu  --- succès
en  --- énuméré
pressenti  --- succès
avais  --- peur
avais  --- peur
que  --- attendaient
dit  --- mal
faut  --- un
l  --- dit
dit  --- &
comprend  --- qu
passer  --- fautes
vous  --- boudée
vous  --- retrouvent
vous  --- &
vous  --- couvrent
fait  --- plaisir
duré  --- ans
ouvrir  --- journal
a  --- réflexe
se  --- produit
fait  --- que
a  --- rumeur
court  --- Paris
dit  --- mais
donnerait  --- prix
paraître  --- chef
appelle  --- Barrage
l  --- raté
s  --- est
s  --- misé
avait  --- aucun
couronné  --- jeux
l  --- laissé
avoir  --- regret
le  --- donner
voulaient  --- donner
fait  --- que
en  --- écrit
avez  --- ans
traverse  --- fleuve
voulez  --- &
ai  --- chapeau
eu  --- chapeau
l  --- eu
ai  --- lamés
faire  --- &
vous  --- remarquer
vous  --- remarquerait
se  --- porte
vous  --- remarquerait
vous  --- remarquerait
vous  --- remarquée
se  --- croisent
dire  --- que
changer  --- vie
s  --- appelait
rien  --- vu
qui  --- a
qui  --- a
en  --- donnez
en  --- vois
a  --- longtemps
pense  --- que
s  --- assis
vous  --- regarde
le  --- savez
le  --- sais
sais  --- choses
a  --- ans
ai  --- ans
a  --- ans
a  --- impression
savez  --- qu
su  --- qu
avais  --- avis
choisi  --- Yudina
l  --- choisie
penser  --- que
penser  --- que
jouait  --- préludes
les  --- jouait
trouve  --- ça
trouve  --- ça
qu  --- entendu
a  --- motif
dire  --- que
déterminé  --- vocation
a  --- ans
entend  --- Lohengrin
l  --- dit
demande  --- si
amène  --- &
rappelle  --- arrivée
voudrais  --- faire
faire  --- psychanalyse
lis  --- portrait
l  --- attend
trahissait  --- raidissement
fait  --- place
avait  --- côté
qu  --- gardera
explique  --- que
soigner  --- tuberculose
